                                                            Pradiniai duomenys
-----------------------------------------------------------------------------------------------------------------------------------------
                          Name|                           Year|                          Grade|                                     Hash| 
-----------------------------------------------------------------------------------------------------------------------------------------
                       Mykolas|                              1|                       6.950000| df656b953e10738b229fe04a132233c82642a9dd|
                         Jonas|                              1|                       6.950000| c1c591f29e5fa73d611d48c767e9f99edcfc2a5a|
                         Vytas|                              3|                       7.850000| ea2b574ffcf84185f312760ee4ab2d451a821004|
                       Mykolas|                              1|                       6.950000| df656b953e10738b229fe04a132233c82642a9dd|
                         Jonas|                              1|                       6.950000| c1c591f29e5fa73d611d48c767e9f99edcfc2a5a|
                         Vytas|                              3|                       7.850000| ea2b574ffcf84185f312760ee4ab2d451a821004|
                       Mykolas|                              1|                       6.950000| df656b953e10738b229fe04a132233c82642a9dd|
                         Jonas|                              1|                       6.950000| c1c591f29e5fa73d611d48c767e9f99edcfc2a5a|
                         Vytas|                              3|                       7.850000| ea2b574ffcf84185f312760ee4ab2d451a821004|
                       Mykolas|                              1|                       6.950000| df656b953e10738b229fe04a132233c82642a9dd|
                         Jonas|                              1|                       6.950000| c1c591f29e5fa73d611d48c767e9f99edcfc2a5a|
                         Vytas|                              3|                       7.850000| ea2b574ffcf84185f312760ee4ab2d451a821004|
                       Mykolas|                              1|                       6.950000| df656b953e10738b229fe04a132233c82642a9dd|
                         Jonas|                              1|                       6.950000| c1c591f29e5fa73d611d48c767e9f99edcfc2a5a|
                         Vytas|                              3|                       7.850000| ea2b574ffcf84185f312760ee4ab2d451a821004|
                       Mykolas|                              1|                       6.950000| df656b953e10738b229fe04a132233c82642a9dd|
                         Jonas|                              1|                       6.950000| c1c591f29e5fa73d611d48c767e9f99edcfc2a5a|
                         Vytas|                              3|                       7.850000| ea2b574ffcf84185f312760ee4ab2d451a821004|
                       Mykolas|                              1|                       6.950000| df656b953e10738b229fe04a132233c82642a9dd|
                         Jonas|                              1|                       6.950000| c1c591f29e5fa73d611d48c767e9f99edcfc2a5a|
                         Vytas|                              3|                       7.850000| ea2b574ffcf84185f312760ee4ab2d451a821004|
                       Mykolas|                              1|                       6.950000| df656b953e10738b229fe04a132233c82642a9dd|
                         Jonas|                              1|                       6.950000| c1c591f29e5fa73d611d48c767e9f99edcfc2a5a|
                         Vytas|                              3|                       7.850000| ea2b574ffcf84185f312760ee4ab2d451a821004|
                         Vytas|                              3|                       7.850000| ea2b574ffcf84185f312760ee4ab2d451a821004|


                                                                    Rezultatai
-----------------------------------------------------------------------------------------------------------------------------------------
                          Name|                           Year|                          Grade|                                     Hash| 
-----------------------------------------------------------------------------------------------------------------------------------------
                         Jonas|                              1|                       6.950000| c1c591f29e5fa73d611d48c767e9f99edcfc2a5a|
                         Jonas|                              1|                       6.950000| c1c591f29e5fa73d611d48c767e9f99edcfc2a5a|
                         Jonas|                              1|                       6.950000| c1c591f29e5fa73d611d48c767e9f99edcfc2a5a|
                         Jonas|                              1|                       6.950000| c1c591f29e5fa73d611d48c767e9f99edcfc2a5a|
                         Jonas|                              1|                       6.950000| c1c591f29e5fa73d611d48c767e9f99edcfc2a5a|
                         Jonas|                              1|                       6.950000| c1c591f29e5fa73d611d48c767e9f99edcfc2a5a|
                         Jonas|                              1|                       6.950000| c1c591f29e5fa73d611d48c767e9f99edcfc2a5a|
                         Jonas|                              1|                       6.950000| c1c591f29e5fa73d611d48c767e9f99edcfc2a5a|
                       Mykolas|                              1|                       6.950000| df656b953e10738b229fe04a132233c82642a9dd|
                       Mykolas|                              1|                       6.950000| df656b953e10738b229fe04a132233c82642a9dd|
                       Mykolas|                              1|                       6.950000| df656b953e10738b229fe04a132233c82642a9dd|
                       Mykolas|                              1|                       6.950000| df656b953e10738b229fe04a132233c82642a9dd|
                       Mykolas|                              1|                       6.950000| df656b953e10738b229fe04a132233c82642a9dd|
                       Mykolas|                              1|                       6.950000| df656b953e10738b229fe04a132233c82642a9dd|
                       Mykolas|                              1|                       6.950000| df656b953e10738b229fe04a132233c82642a9dd|
                       Mykolas|                              1|                       6.950000| df656b953e10738b229fe04a132233c82642a9dd|
                         Vytas|                              3|                       7.850000| ea2b574ffcf84185f312760ee4ab2d451a821004|
                         Vytas|                              3|                       7.850000| ea2b574ffcf84185f312760ee4ab2d451a821004|
                         Vytas|                              3|                       7.850000| ea2b574ffcf84185f312760ee4ab2d451a821004|
                         Vytas|                              3|                       7.850000| ea2b574ffcf84185f312760ee4ab2d451a821004|
                         Vytas|                              3|                       7.850000| ea2b574ffcf84185f312760ee4ab2d451a821004|
                         Vytas|                              3|                       7.850000| ea2b574ffcf84185f312760ee4ab2d451a821004|
                         Vytas|                              3|                       7.850000| ea2b574ffcf84185f312760ee4ab2d451a821004|
                         Vytas|                              3|                       7.850000| ea2b574ffcf84185f312760ee4ab2d451a821004|
                         Vytas|                              3|                       7.850000| ea2b574ffcf84185f312760ee4ab2d451a821004|
Int ir Float lauku suma: 224.85
